split_type,model,valid_mrr,valid_hits1,valid_hits10,test_mrr,test_hits1,test_hits10,best_epoch,source,base_model
naive_random,TransE,0.7166539159832407,0.5487849111352919,0.9927457381211462,0.714790517369674,0.5705782312925171,0.9753401360544217,50.0,Custom,TransE
naive_random,DistMult,0.7665851451430397,0.6289445048966268,0.9727965179542981,0.6462868936329716,0.47534013605442177,0.9404761904761905,50.0,Custom,DistMult
naive_random,ComplEx,0.8508292446079889,0.7370330068915488,0.9920203119332608,0.8424477058212725,0.7423469387755102,0.9923469387755102,45.0,Custom,ComplEx
naive_random,RotatE,0.29952968737933605,0.1795429815016322,0.5498730504171201,0.17128137908143515,0.08333333333333333,0.36054421768707484,50.0,Custom,RotatE
naive_random,RGCN_DistMult,0.6397112647864629,0.4844033369604643,0.9345302865433442,0.4351082312868108,0.27721088435374147,0.7695578231292517,45.0,Custom,RGCN_DistMult
naive_random,RGCN_RotatE,0.5934964549612088,0.40642002176278563,0.9334421472615161,0.5130479922244647,0.3460884353741497,0.8350340136054422,45.0,Custom,RGCN_RotatE
transductive,TransE,0.6975311047946295,0.5254972875226039,0.9877034358047017,0.7056486055059051,0.5516949152542373,0.9703389830508474,45.0,Custom,TransE
transductive,DistMult,0.7483749212264031,0.6045207956600361,0.9698010849909584,0.6143677757444292,0.44745762711864406,0.9220338983050848,50.0,Custom,DistMult
transductive,ComplEx,0.8417686784261271,0.7236889692585895,0.9915009041591321,0.8516601115485649,0.7576271186440678,0.9864406779661017,50.0,Custom,ComplEx
transductive,RotatE,0.30238337531826387,0.1810126582278481,0.5585895117540687,0.20852155790407606,0.11101694915254237,0.4135593220338983,50.0,Custom,RotatE
transductive,RGCN_DistMult,0.6073456119417788,0.43869801084990956,0.9198915009041592,0.3450988134344637,0.1847457627118644,0.6822033898305084,50.0,Custom,RGCN_DistMult
transductive,RGCN_RotatE,0.5677129245406068,0.3737793851717902,0.9274864376130199,0.4422739133807708,0.27203389830508473,0.8144067796610169,50.0,Custom,RGCN_RotatE
inverse_leakage_removal,TransE,0.6221459062642708,0.4237782640408461,0.962253829321663,0.6982775006003311,0.5466101694915254,0.9720338983050848,50.0,Custom,TransE
inverse_leakage_removal,DistMult,0.5956085947982627,0.4190371991247265,0.887126185266229,0.6390764319976526,0.4661016949152542,0.940677966101695,50.0,Custom,DistMult
inverse_leakage_removal,ComplEx,0.7169839665443437,0.5517870167760759,0.9401896425966448,0.8381920637357005,0.7457627118644068,0.9720338983050848,45.0,Custom,ComplEx
inverse_leakage_removal,RotatE,0.26604587360078175,0.15590809628008753,0.4948942377826404,0.16292787854633642,0.07796610169491526,0.3347457627118644,50.0,Custom,RotatE
inverse_leakage_removal,RGCN_DistMult,0.5558500738614212,0.38676148796498905,0.87490882567469,0.43077316031197666,0.2627118644067797,0.8067796610169492,40.0,Custom,RGCN_DistMult
inverse_leakage_removal,RGCN_RotatE,0.5699597978881298,0.3891320204230489,0.8913202042304887,0.5470582241451565,0.373728813559322,0.8771186440677966,50.0,Custom,RGCN_RotatE
full_train,TransE,0.0,0.0,0.0,0.7441734842370435,0.6033898305084746,0.9932203389830508,50.0,Custom,TransE
full_train,DistMult,0.0,0.0,0.0,0.6931678820238142,0.5169491525423728,0.9949152542372881,50.0,Custom,DistMult
full_train,ComplEx,0.0,0.0,0.0,0.8770947672854452,0.7838983050847458,0.9983050847457627,50.0,Custom,ComplEx
full_train,RotatE,0.0,0.0,0.0,0.26294514927952667,0.14745762711864407,0.5008474576271187,50.0,Custom,RotatE
full_train,RGCN_DistMult,0.0,0.0,0.0,0.4922340467489031,0.3135593220338983,0.8923728813559322,50.0,Custom,RGCN_DistMult
full_train,RGCN_RotatE,0.0,0.0,0.0,0.5786401515525579,0.39915254237288134,0.9161016949152543,50.0,Custom,RGCN_RotatE
naive_random,PyKEEN_TransE,0.0,0.0,0.0,0.16953493654727936,0.0,0.6156462585034014,50.0,PyKEEN,TransE
naive_random,PyKEEN_DistMult,0.0,0.0,0.0,0.5470649003982544,0.33418367346938777,0.9863945578231292,35.0,PyKEEN,DistMult
naive_random,PyKEEN_ComplEx,0.0,0.0,0.0,0.0070157358422875404,0.0017006802721088435,0.008503401360544218,50.0,PyKEEN,ComplEx
naive_random,PyKEEN_RotatE,0.0,0.0,0.0,0.7334411144256592,0.6360544217687075,0.8954081632653061,50.0,PyKEEN,RotatE
transductive,PyKEEN_TransE,0.0,0.0,0.0,0.16953493654727936,0.0,0.6156462585034014,50.0,PyKEEN,TransE
transductive,PyKEEN_DistMult,0.0,0.0,0.0,0.5470649003982544,0.33418367346938777,0.9863945578231292,35.0,PyKEEN,DistMult
transductive,PyKEEN_ComplEx,0.0,0.0,0.0,0.0070157358422875404,0.0017006802721088435,0.008503401360544218,50.0,PyKEEN,ComplEx
transductive,PyKEEN_RotatE,0.0,0.0,0.0,0.7334411144256592,0.6360544217687075,0.8954081632653061,50.0,PyKEEN,RotatE
inverse_leakage_removal,PyKEEN_TransE,0.0,0.0,0.0,0.17479021847248077,0.0,0.6124361158432708,50.0,PyKEEN,TransE
inverse_leakage_removal,PyKEEN_DistMult,0.0,0.0,0.0,0.5798267126083374,0.39182282793867124,0.9838160136286201,40.0,PyKEEN,DistMult
inverse_leakage_removal,PyKEEN_ComplEx,0.0,0.0,0.0,0.006548003293573856,0.0008517887563884157,0.01192504258943782,15.0,PyKEEN,ComplEx
inverse_leakage_removal,PyKEEN_RotatE,0.0,0.0,0.0,0.7267487049102783,0.6252129471890971,0.8926746166950597,50.0,PyKEEN,RotatE
full_train,PyKEEN_TransE,0.0,0.0,0.0,0.20064756274223328,0.0,0.7271186440677966,,PyKEEN,TransE
full_train,PyKEEN_DistMult,0.0,0.0,0.0,0.5194497108459473,0.32033898305084746,0.9872881355932204,,PyKEEN,DistMult
full_train,PyKEEN_ComplEx,0.0,0.0,0.0,0.007844386622309685,0.001694915254237288,0.009322033898305085,,PyKEEN,ComplEx
full_train,PyKEEN_RotatE,0.0,0.0,0.0,0.8379948735237122,0.7432203389830508,0.9796610169491525,,PyKEEN,RotatE
